Date,Time,Nitrogen dioxide,Status
16/03/2021,09:00:00,25.76647,V ugm-3
16/03/2021,10:00:00,21.22981,V ugm-3
16/03/2021,11:00:00,11.05035,V ugm-3
16/03/2021,12:00:00,9.07219,V ugm-3
16/03/2021,13:00:00,9.02384,V ugm-3
16/03/2021,14:00:00,8.92775,V ugm-3
16/03/2021,15:00:00,13.07747,V ugm-3
16/03/2021,16:00:00,14.33055,V ugm-3
16/03/2021,17:00:00,14.81521,V ugm-3
16/03/2021,18:00:00,17.42208,V ugm-3
16/03/2021,19:00:00,10.08647,V ugm-3
16/03/2021,20:00:00,8.49399,V ugm-3
16/03/2021,21:00:00,8.20452,V ugm-3
16/03/2021,22:00:00,8.97671,V ugm-3
16/03/2021,23:00:00,8.68716,V ugm-3
16/03/2021,0:00:00,7.14291,V ugm-3
17/03/2021,01:00:00,6.95235,V ugm-3
17/03/2021,02:00:00,8.43297,V ugm-3
17/03/2021,03:00:00,7.82137,V ugm-3
17/03/2021,04:00:00,12.8425,V ugm-3
17/03/2021,05:00:00,9.36633,V ugm-3
17/03/2021,06:00:00,18.05652,V ugm-3
17/03/2021,07:00:00,33.30593,V ugm-3
17/03/2021,08:00:00,33.15512,V ugm-3
17/03/2021,09:00:00,33.39504,V ugm-3
17/03/2021,10:00:00,25.38816,V ugm-3
17/03/2021,11:00:00,21.23731,V ugm-3
17/03/2021,12:00:00,19.75877,V ugm-3
17/03/2021,13:00:00,18.34328,V ugm-3
17/03/2021,14:00:00,18.14781,V ugm-3
17/03/2021,15:00:00,10.71422,V ugm-3
17/03/2021,16:00:00,11.05276,V ugm-3
17/03/2021,17:00:00,12.6963,V ugm-3
17/03/2021,18:00:00,16.80054,V ugm-3
17/03/2021,19:00:00,18.24931,V ugm-3
17/03/2021,20:00:00,27.1814,V ugm-3
17/03/2021,21:00:00,27.46993,V ugm-3
17/03/2021,22:00:00,18.2014,V ugm-3
17/03/2021,23:00:00,9.41449,V ugm-3
17/03/2021,0:00:00,10.71821,V ugm-3
18/03/2021,01:00:00,12.49575,V ugm-3
18/03/2021,02:00:00,16.87548,V ugm-3
18/03/2021,03:00:00,14.25077,V ugm-3
18/03/2021,04:00:00,20.82032,V ugm-3
18/03/2021,05:00:00,22.84923,V ugm-3
18/03/2021,06:00:00,18.74294,V ugm-3
18/03/2021,07:00:00,23.76565,V ugm-3
18/03/2021,08:00:00,37.9625,V ugm-3
18/03/2021,09:00:00,19.99372,V ugm-3
18/03/2021,10:00:00,14.1035,V ugm-3
18/03/2021,11:00:00,10.28791,V ugm-3
18/03/2021,12:00:00,10.52667,V ugm-3
18/03/2021,13:00:00,10.81944,V ugm-3
18/03/2021,14:00:00,10.04632,V ugm-3
18/03/2021,15:00:00,15.59968,V ugm-3
18/03/2021,16:00:00,21.54084,V ugm-3
18/03/2021,17:00:00,18.54914,V ugm-3
18/03/2021,18:00:00,25.45757,V ugm-3
18/03/2021,19:00:00,32.5107,V ugm-3
18/03/2021,20:00:00,38.98355,V ugm-3
18/03/2021,21:00:00,31.73751,V ugm-3
18/03/2021,22:00:00,16.23142,V ugm-3
18/03/2021,23:00:00,10.19295,V ugm-3
18/03/2021,0:00:00,6.61822,V ugm-3
19/03/2021,01:00:00,6.18703,V ugm-3
19/03/2021,02:00:00,6.50922,V ugm-3
19/03/2021,03:00:00,6.52539,V ugm-3
19/03/2021,04:00:00,7.0571,V ugm-3
19/03/2021,05:00:00,5.5586,V ugm-3
19/03/2021,06:00:00,6.52527,V ugm-3
19/03/2021,07:00:00,12.90517,V ugm-3
19/03/2021,08:00:00,15.75553,V ugm-3
19/03/2021,09:00:00,11.98426,V ugm-3
19/03/2021,10:00:00,10.4371,V ugm-3
19/03/2021,11:00:00,9.32299,V ugm-3
19/03/2021,12:00:00,5.70214,V ugm-3
19/03/2021,13:00:00,7.49015,V ugm-3
19/03/2021,14:00:00,6.13734,V ugm-3
19/03/2021,15:00:00,5.41224,V ugm-3
19/03/2021,16:00:00,6.86224,V ugm-3
19/03/2021,17:00:00,8.6029,V ugm-3
19/03/2021,18:00:00,11.84171,V ugm-3
19/03/2021,19:00:00,14.69377,V ugm-3
19/03/2021,20:00:00,16.96559,V ugm-3
19/03/2021,21:00:00,17.01405,V ugm-3
19/03/2021,22:00:00,16.72406,V ugm-3
19/03/2021,23:00:00,15.80581,V ugm-3
19/03/2021,0:00:00,13.43736,V ugm-3
20/03/2021,01:00:00,14.50906,V ugm-3
20/03/2021,02:00:00,15.86246,V ugm-3
20/03/2021,03:00:00,16.00802,V ugm-3
20/03/2021,04:00:00,11.89743,V ugm-3
20/03/2021,05:00:00,14.94441,V ugm-3
20/03/2021,06:00:00,17.45918,V ugm-3
20/03/2021,07:00:00,31.09667,V ugm-3
20/03/2021,08:00:00,32.15832,V ugm-3
20/03/2021,09:00:00,24.66188,V ugm-3
20/03/2021,10:00:00,16.58606,V ugm-3
20/03/2021,11:00:00,10.78346,V ugm-3
20/03/2021,12:00:00,10.54206,V ugm-3
20/03/2021,13:00:00,9.62343,V ugm-3
20/03/2021,14:00:00,10.83218,V ugm-3
20/03/2021,15:00:00,10.20358,V ugm-3
20/03/2021,16:00:00,9.14001,V ugm-3
20/03/2021,17:00:00,11.21992,V ugm-3
20/03/2021,18:00:00,15.81421,V ugm-3
20/03/2021,19:00:00,29.74161,V ugm-3
20/03/2021,20:00:00,48.11055,V ugm-3
20/03/2021,21:00:00,44.29195,V ugm-3
20/03/2021,22:00:00,36.65267,V ugm-3
20/03/2021,23:00:00,19.82885,V ugm-3
20/03/2021,0:00:00,6.48066,V ugm-3
21/03/2021,01:00:00,5.35539,V ugm-3
21/03/2021,02:00:00,6.58121,V ugm-3
21/03/2021,03:00:00,4.59723,V ugm-3
21/03/2021,04:00:00,4.35526,V ugm-3
21/03/2021,05:00:00,4.40365,V ugm-3
21/03/2021,06:00:00,5.85523,V ugm-3
21/03/2021,07:00:00,9.82322,V ugm-3
21/03/2021,08:00:00,9.14556,V ugm-3
21/03/2021,09:00:00,7.30649,V ugm-3
21/03/2021,10:00:00,4.35461,V ugm-3
21/03/2021,11:00:00,3.67717,V ugm-3
21/03/2021,12:00:00,3.58035,V ugm-3
21/03/2021,13:00:00,3.82247,V ugm-3
21/03/2021,14:00:00,3.77392,V ugm-3
21/03/2021,15:00:00,4.49983,V ugm-3
21/03/2021,16:00:00,5.0807,V ugm-3
21/03/2021,17:00:00,6.48407,V ugm-3
21/03/2021,18:00:00,9.77479,V ugm-3
21/03/2021,19:00:00,18.34013,V ugm-3
21/03/2021,20:00:00,27.18903,V ugm-3
21/03/2021,21:00:00,34.21307,V ugm-3
21/03/2021,22:00:00,61.14155,V ugm-3
21/03/2021,23:00:00,70.9281,V ugm-3
21/03/2021,0:00:00,66.98122,V ugm-3
22/03/2021,01:00:00,62.73391,V ugm-3
22/03/2021,02:00:00,61.03705,V ugm-3
22/03/2021,03:00:00,52.95695,V ugm-3
22/03/2021,04:00:00,46.76582,V ugm-3
22/03/2021,05:00:00,42.35962,V ugm-3
22/03/2021,06:00:00,44.29561,V ugm-3
22/03/2021,07:00:00,52.30681,V ugm-3
22/03/2021,08:00:00,39.198,V ugm-3
22/03/2021,09:00:00,28.4126,V ugm-3
22/03/2021,10:00:00,16.74766,V ugm-3
22/03/2021,11:00:00,18.92485,V ugm-3
22/03/2021,12:00:00,17.13469,V ugm-3
22/03/2021,13:00:00,15.15077,V ugm-3
22/03/2021,14:00:00,13.40831,V ugm-3
22/03/2021,15:00:00,9.97245,V ugm-3
22/03/2021,16:00:00,12.9738,V ugm-3
22/03/2021,17:00:00,12.58793,V ugm-3
22/03/2021,18:00:00,15.25153,V ugm-3
22/03/2021,19:00:00,22.99893,V ugm-3
22/03/2021,20:00:00,35.10356,V ugm-3
22/03/2021,21:00:00,24.69293,V ugm-3
22/03/2021,22:00:00,34.03904,V ugm-3
22/03/2021,23:00:00,51.79106,V ugm-3
22/03/2021,0:00:00,64.57861,V ugm-3
23/03/2021,01:00:00,51.8963,V ugm-3
23/03/2021,02:00:00,44.73529,V ugm-3
23/03/2021,03:00:00,46.15474,V ugm-3
23/03/2021,04:00:00,45.76774,V ugm-3
23/03/2021,05:00:00,48.24825,V ugm-3
23/03/2021,06:00:00,53.99894,V ugm-3
23/03/2021,07:00:00,59.68992,V ugm-3
23/03/2021,08:00:00,65.70713,V ugm-3
23/03/2021,09:00:00,69.13377,V ugm-3
23/03/2021,10:00:00,63.22523,V ugm-3
23/03/2021,11:00:00,42.46629,V ugm-3
23/03/2021,12:00:00,28.13545,V ugm-3
23/03/2021,13:00:00,28.57135,V ugm-3
