Date,Time,Nitrogen dioxide,Status
04/04/2021,11:00:00,8.29317,V ugm-3
04/04/2021,12:00:00,10.08599,V ugm-3
04/04/2021,13:00:00,10.81818,V ugm-3
04/04/2021,14:00:00,10.88159,V ugm-3
04/04/2021,15:00:00,9.7054,V ugm-3
04/04/2021,16:00:00,9.8308,V ugm-3
04/04/2021,17:00:00,8.82375,V ugm-3
04/04/2021,18:00:00,10.57845,V ugm-3
04/04/2021,19:00:00,16.27742,V ugm-3
04/04/2021,20:00:00,21.9186,V ugm-3
04/04/2021,21:00:00,25.23851,V ugm-3
04/04/2021,22:00:00,17.74391,V ugm-3
04/04/2021,23:00:00,11.48469,V ugm-3
04/04/2021,0:00:00,12.50018,V ugm-3
05/04/2021,01:00:00,10.82766,V ugm-3
05/04/2021,02:00:00,9.54939,V ugm-3
05/04/2021,03:00:00,8.29018,V ugm-3
05/04/2021,04:00:00,7.10343,V ugm-3
05/04/2021,05:00:00,8.39957,V ugm-3
05/04/2021,06:00:00,5.2368,V ugm-3
05/04/2021,07:00:00,3.70904,V ugm-3
05/04/2021,08:00:00,5.51065,V ugm-3
05/04/2021,09:00:00,3.75413,V ugm-3
05/04/2021,10:00:00,4.71568,V ugm-3
05/04/2021,11:00:00,5.32911,V ugm-3
05/04/2021,12:00:00,5.10249,V ugm-3
05/04/2021,13:00:00,4.30966,V ugm-3
05/04/2021,14:00:00,3.97435,V ugm-3
05/04/2021,15:00:00,3.63904,V ugm-3
05/04/2021,16:00:00,5.5479,V ugm-3
05/04/2021,17:00:00,5.44136,V ugm-3
05/04/2021,18:00:00,5.83741,V ugm-3
05/04/2021,19:00:00,9.85092,V ugm-3
05/04/2021,20:00:00,15.49659,V ugm-3
05/04/2021,21:00:00,18.55281,V ugm-3
05/04/2021,22:00:00,15.00039,V ugm-3
05/04/2021,23:00:00,11.67103,V ugm-3
05/04/2021,0:00:00,11.50089,V ugm-3
06/04/2021,01:00:00,10.62348,V ugm-3
06/04/2021,02:00:00,13.79024,V ugm-3
06/04/2021,03:00:00,10.39475,V ugm-3
06/04/2021,04:00:00,10.73423,V ugm-3
06/04/2021,05:00:00,14.17548,V ugm-3
06/04/2021,06:00:00,23.36042,V ugm-3
